ants,evaporation_rate,best_fitness,average_fitness,std_dev_fitness
30,0.75,150,260.3,67.9
30,0.8,167,456.7,146.5
30,0.85,253,555.4,212.0
30,0.9,444,747.9,295.2
30,0.95,435,873.5,292.6
30,1.0,346,743.4,250.5
35,0.05,86,139.0,44.3
35,0.1,40,113.5,53.2
35,0.15,23,83.7,42.1
35,0.2,43,138.3,72.0
35,0.25,21,88.7,50.4
35,0.3,63,106.9,32.9
35,0.35,37,76.5,27.3
35,0.4,23,75.3,29.3
35,0.45,25,77.1,38.5
35,0.5,22,112.5,80.8
35,0.55,22,70.9,44.4
35,0.6,25,76.8,36.9
35,0.65,43,86.4,42.4
35,0.7,23,177.0,85.3
35,0.75,169,343.7,121.0
35,0.8,220,457.5,176.2
35,0.85,377,655.8,211.7
35,0.9,291,682.6,276.1
35,0.95,568,876.2,173.8
35,1.0,389,845.7,302.4
40,0.05,26,101.4,58.7
40,0.1,34,116.3,81.0
40,0.15,13,106.5,66.3
40,0.2,40,92.0,48.3
40,0.25,28,83.9,44.5
40,0.3,20,97.8,51.8
40,0.35,26,72.1,27.4
40,0.4,35,66.8,28.1
40,0.45,29,63.7,34.1
40,0.5,25,64.9,32.6
40,0.55,18,64.4,47.4
40,0.6,19,55.2,23.8
40,0.65,78,166.0,65.0
40,0.7,171,255.7,65.6
40,0.75,223,431.1,149.5
40,0.8,304,529.4,163.2
40,0.85,358,651.1,215.6
40,0.9,503,777.6,165.2
40,0.95,531,790.3,243.4
40,1.0,271,701.3,207.9
45,0.05,41,110.4,62.3
45,0.1,10,76.9,51.2
45,0.15,39,79.4,33.6
45,0.2,33,91.5,41.4
45,0.25,19,83.8,52.8
45,0.3,50,84.4,25.2
45,0.35,27,66.1,26.1
45,0.4,31,64.3,21.7
45,0.45,9,56.4,26.0
45,0.5,14,46.0,32.5
45,0.55,25,82.2,28.8
45,0.6,36,168.2,85.8
45,0.65,162,265.5,81.5
45,0.7,78,349.4,127.3
45,0.75,253,477.3,137.6
45,0.8,371,604.7,178.9
45,0.85,193,566.8,181.6
45,0.9,555,801.2,167.4
45,0.95,428,736.0,159.3
45,1.0,271,694.4,270.5
50,0.05,22,90.4,44.3
50,0.1,32,98.2,47.1
50,0.15,12,68.2,42.8
50,0.2,21,83.2,28.7
50,0.25,23,69.6,27.3
50,0.3,22,94.6,41.9
50,0.35,23,70.2,44.5
50,0.4,25,55.1,16.7
50,0.45,24,71.9,46.9
50,0.5,7,75.7,54.9
50,0.55,100,143.1,47.7
50,0.6,155,248.6,63.4
50,0.65,236,332.3,56.2
50,0.7,227,435.4,147.1
50,0.75,330,522.5,173.6
50,0.8,388,667.7,198.2
50,0.85,301,600.3,208.7
50,0.9,449,643.3,140.0
50,0.95,491,791.0,171.3
50,1.0,589,817.9,182.3
55,0.05,27,99.4,49.9
55,0.1,15,78.9,39.7
55,0.15,16,85.9,47.4
55,0.2,50,86.9,49.7
55,0.25,34,78.0,42.2
55,0.3,37,67.0,39.3
55,0.35,23,55.4,30.6
55,0.4,23,70.8,31.2
55,0.45,41,99.5,30.3
55,0.5,33,119.5,91.1
55,0.55,82,183.1,58.7
55,0.6,188,254.5,43.4
55,0.65,260,388.5,83.7
55,0.7,247,448.0,141.5
55,0.75,367,560.9,186.1
55,0.8,282,653.5,218.8
55,0.85,281,666.9,232.7
55,0.9,280,735.1,209.7
55,0.95,420,683.7,215.5
55,1.0,325,678.3,216.6
60,0.05,44,112.7,52.8
